ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1769354784.885859,C6hzffZidZSn3E8Rh,192.168.10.2,35432,8.8.8.8,53,udp,dns,5.005976,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354794.899341,CIB41313Sloy88e0W8,192.168.10.2,33877,8.8.8.8,53,udp,dns,5.004501,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354804.910103,C3EbJo35Iq7Mtk4Yb8,192.168.10.2,57153,8.8.8.8,53,udp,dns,5.006360,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354814.924924,CwQuhq2IkcwqrGCSwl,192.168.10.2,50533,8.8.8.8,53,udp,dns,5.004050,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354824.935709,CsqzVq2LbOBk0YbN3c,192.168.10.2,59275,8.8.8.8,53,udp,dns,5.006952,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354834.949096,Cw0eg02EypikNCS23,192.168.10.2,45042,8.8.8.8,53,udp,dns,5.011513,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354801.882706,CAe9Dh4uT9p7HXtqYi,fe80::20c:29ff:fe3a:8165,133,ff02::2,134,icmp,0,0,0,0,OTH,T,F,0,0,1,56,0,0,0,58,1
1769354844.966912,CbiIKC3StNDtAVbVKj,192.168.10.2,37549,8.8.8.8,53,udp,dns,5.010059,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354854.978572,C928Sp2OxndI3uOM8d,192.168.10.2,39619,8.8.8.8,53,udp,dns,5.009871,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354864.994598,C8XuHD4RfdiEp5OLE2,192.168.10.2,54614,8.8.8.8,53,udp,dns,5.005317,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354875.005708,CisxAN2cqzmFfD42R1,192.168.10.2,59834,8.8.8.8,53,udp,dns,5.005612,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354885.018519,Cc564pjsk3AwsvC04,192.168.10.2,36548,8.8.8.8,53,udp,dns,5.005559,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354895.030498,CO5UyS1tf2Tj8EI1W4,192.168.10.2,59149,8.8.8.8,53,udp,dns,5.006768,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354905.042073,CAajUA13wtRDs7Xq16,192.168.10.2,33295,8.8.8.8,53,udp,dns,5.006802,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354915.054492,CQDX2a2Qm0YZYYvb96,192.168.10.2,44156,8.8.8.8,53,udp,dns,5.006179,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354925.067065,C8vs8n2lSjlNOavuO3,192.168.10.2,50886,8.8.8.8,53,udp,dns,5.008205,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354935.080981,CMgI4EQ7VQJvaknN9,192.168.10.2,36932,8.8.8.8,53,udp,dns,5.013141,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354945.093242,CSa4mi2lIvAuEOhLc4,192.168.10.2,33274,8.8.8.8,53,udp,dns,5.005429,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354955.106005,CpDy2A1k4NILEh5ETj,192.168.10.2,38249,8.8.8.8,53,udp,dns,5.006609,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354965.118272,Csdap74AvF9I6NoV19,192.168.10.2,42938,8.8.8.8,53,udp,dns,5.005953,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354975.13032,CF4dLn1YRRm6h9AIWb,192.168.10.2,59339,8.8.8.8,53,udp,dns,5.005980,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
